Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"U3,U4",LT3042EMSE#TRPBF,2,LT3042xMSE,
2,"R32,R8,R27,R7",RMCF0603FT1K00,4,1kΩ,
3,"R9,R35,R10,R36",RMCF0603FT40R2,4,40.2Ω,
4,"R19,R12",RMCF0603FT499R,2,499Ω,
5,"J3,J7,J6,J2",SMA_Amphenol_132134-16_Vertical,4,Conn_Coaxial_Small,
6,U5,LM2776DBVR,1,LM2776,
7,"R30,R3",RC0603FR-0722R6L,2,22.5Ω,
8,"C13,C14,C25,C16,C17,C26,C11",CL10A475KP8NNNC,7,4.7μF,
9,"C5,C10,C18,C23,C21,C4,C7,C9,C19,C2",C0603C103K5RACTU,10,0.01μF,
10,"R23,R16",CR0603-FX-4992ELF,2,49.9kΩ,
11,"D4,D3,D1,D2",ACDBQC0130L-HF,4,D_Schottky,
12,"C6,C22,C20,C15,C3,C1,C24,C8",C0603C222K5RACTU,8,2200pF,
13,"R40,R25,R39,R24",RC0603FR-075K1L,4,5.1kΩ,
14,R17,RC0603FR-079K76L,1,9.76kΩ,
15,R37,RN73R1JTTD3702F100,1,37kΩ,
16,R20,ERA-3AEB6981V,1,7kΩ,
17,U7,LT3093EMSE#PBF,1,LT3093xMSE,
18,"R22,R15",ERJ-3EKF4533V,2,453kΩ,
19,R18,RC0603FR-0718KL,1,18kΩ,
20,"R11,R26",CRCW060350R0FKEA,2,50Ω,
21,C12,C0603C104K3RACTU,1,1μF,
22,R13,RN73R1JTTD3202B25,1,32kΩ,
23,"R31,R4",RC0603FR-0722R6L,2,22.6Ω,
24,"R21,R14",RG1608P-204-B-T5,2,200kΩ,
25,R38,RC0603FR-0713KL,1,13kΩ,
26,"J9,J8",61300311121,2,Conn_01x03,
27,"R1,R34,R33,R2",RC0603FR-07127RL,4,127Ω,
28,"J4,J10",USB4140-GF-0170-C,2,USB_C_Receptacle_PowerOnly_6P,
29,"R28,R6,R29,R5",RC0603FR-07365RL,4,365Ω,
30,"U6,U1",LMH5401IRMST,2,LMH5401IRMST,
31,"J1,J5",RF2-152-T-00-50-G-HDW,2,Conn_Coaxial_Large,
